         2644190 function calls (2644055 primitive calls) in 0.501 seconds

   Ordered by: cumulative time
   List reduced from 329 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10152    0.002    0.000    0.003    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:241(_normalize_group_identifier)
    16365    0.002    0.000    0.003    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\utils.py:147(<lambda>)
    35086    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
        9    0.000    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\logging\__init__.py:1479(info)
        9    0.000    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\logging\__init__.py:1610(_log)
        1    0.000    0.000    0.002    0.002 {built-in method io.open}
      580    0.000    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\re\__init__.py:173(search)
    28503    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
       72    0.000    0.000    0.002    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\utils.py:49(deactivate_table_content_cache)
        1    0.000    0.000    0.002    0.002 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\encodings\__init__.py:71(search_function)
        1    0.002    0.002    0.002    0.002 {method 'reset' of '_contextvars.ContextVar' objects}
      864    0.001    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\re\__init__.py:272(_compile)
        1    0.000    0.000    0.002    0.002 {built-in method builtins.__import__}
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1165(_find_and_load)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
       71    0.000    0.000    0.001    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:557(_normalize_logical_operators)
      284    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\re\__init__.py:178(sub)
        9    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\logging\__init__.py:1636(handle)



Top 50 by internal time (self time):
         2644190 function calls (2644055 primitive calls) in 0.501 seconds

   Ordered by: internal time
   List reduced from 329 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.106    0.106    0.471    0.471 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:2647(determine_applicable_pauschale)
  1807980    0.098    0.000    0.098    0.000 {method 'get' of 'dict' objects}
      113    0.037    0.000    0.056    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:1259(<setcomp>)
      398    0.034    0.000    0.049    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:1356(<setcomp>)
